region,province,municipality,active_population,employed_population
L'Oriental,Jerada,MU-Ain Bni Mathar,3 825,2 674
L'Oriental,Jerada,MU-Jerada,13 194,7 565
L'Oriental,Jerada,MU-Touissit,1 049,563
L'Oriental,Jerada,CR-Gafait,1 034,822
L'Oriental,Jerada,CR-Guenfouda,2 005,1 619
L'Oriental,Jerada,CR-Laaouinate,1 322,854
L'Oriental,Jerada,CR-Lebkhata,757,701
L'Oriental,Jerada,CR-Ras Asfour,572,568
L'Oriental,Jerada,CR-Sidi Boubker,264,205
L'Oriental,Jerada,AC-Sidi boubker,594,366
L'Oriental,Jerada,CR-Tiouli,1 289,1 072
L'Oriental,Jerada,AC-Oued El Heimer,603,415
L'Oriental,Jerada,CR-Bni Mathar,1 990,1 642
L'Oriental,Jerada,CR-Mrija,999,983
L'Oriental,Jerada,CR-Oulad Ghziyel,1 139,988
L'Oriental,Jerada,CR-Oulad Sidi Abdelhakem,1 477,1 421
L'Oriental,Nador,(Tous),247 059,201 504
L'Oriental,Nador,MU-Al Aaroui,11 227,9 237
L'Oriental,Nador,MU-Bni Ansar,11 963,10 091
L'Oriental,Nador,MU-Nador,47 304,39 994
L'Oriental,Nador,MU-Zaio,10 256,7 252
L'Oriental,Nador,MU-Zeghanghane,6 425,5 335
L'Oriental,Nador,CR-Ain Zohra,3 536,2 542
L'Oriental,Nador,CR-Ait Mait,2 715,2 194
L'Oriental,Nador,CR-Amejjaou,2 287,1 776
L'Oriental,Nador,CR-Dar El Kebdani,2 241,1 593
L'Oriental,Nador,AC-Dar El Kebdani,787,665
L'Oriental,Nador,CR-Driouch,5 524,4 199
L'Oriental,Nador,AC-Driouch,3 218,2 683
L'Oriental,Nador,CR-Oulad Boubker,1 483,1 290
L'Oriental,Nador,CR-Tazaghine,1 787,1 351
L'Oriental,Nador,CR-Bni Bouifrour,2 322,2 065
L'Oriental,Nador,AC-Jaadar,2 946,2 433
L'Oriental,Nador,CR-Bni Chiker,6 403,4 988
L'Oriental,Nador,AC-Bni Chiker,1 435,1 170
L'Oriental,Nador,CR-Bni Sidel Jbel,2 973,2 580
L'Oriental,Nador,CR-Bni Sidel Louta,2 019,1 719
L'Oriental,Nador,CR-Bouarg,6 079,5 540
L'Oriental,Nador,AC-Taouima,2 112,1 517
L'Oriental,Nador,CR-Farkhana,2 913,2 339
L'Oriental,Nador,AC-Farkhana,3 754,2 893
L'Oriental,Nador,CR-Iaazzanene,3 328,2 942
L'Oriental,Nador,CR-Ihaddadene,348,334
L'Oriental,Nador,AC-Bouizazarene Ihaddadene,8 519,6 986
L'Oriental,Nador,CR-Iksane,2 910,2 377
L'Oriental,Nador,CR-Selouane,5 204,4 405
L'Oriental,Nador,AC-Selouane,3 276,2 710
L'Oriental,Nador,CR-Afsou,1 191,1 120
L'Oriental,Nador,CR-AlBarkanyene,748,655
L'Oriental,Nador,CR-Arekmane,5 045,4 199
L'Oriental,Nador,AC-Kariat arkmane,1 852,1 496
L'Oriental,Nador,CR-Bni Oukil Oulad M Hand,3 177,2 965
L'Oriental,Nador,CR-Hassi Berkane,2 877,2 514
L'Oriental,Nador,CR-Oulad Daoud Zkhanine,1 378,1 260
L'Oriental,Nador,CR-Oulad Settout,7 632,6 821
L'Oriental,Nador,CR-Ras El Ma,2 172,1 489
L'Oriental,Nador,AC-Ras El Ma,1 551,1 331
L'Oriental,Nador,CR-Tiztoutine,2 049,1 818
L'Oriental,Nador,AC-Tiztoutine,1 372,974
L'Oriental,Nador,CR-Azlaf,1 978,1 474
L'Oriental,Nador,CR-Ben Taieb,3 492,2 822
L'Oriental,Nador,AC-Ben taieb,3 842,2 703
L'Oriental,Nador,CR-Bni Marghnine,2 103,1 545
L'Oriental,Nador,CR-Boudinar,2 589,1 996
L'Oriental,Nador,CR-Iferni,1 883,1 721
L'Oriental,Nador,CR-Ijermaouas,4 297,3 356
L'Oriental,Nador,CR-Midar,1 112,774
L'Oriental,Nador,AC-Midar,3 804,3 072
L'Oriental,Nador,CR-M Hajer,1 361,942
L'Oriental,Nador,CR-Ouardana,2 080,1 770
L'Oriental,Nador,CR-Oulad Amghar,2 292,1 627
L'Oriental,Nador,CR-Tafersit,2 029,1 605
L'Oriental,Nador,AC-Tafersit,990,770
L'Oriental,Nador,CR-Talilit,1 473,1 240
L'Oriental,Nador,CR-Temsamane,3 870,2 980
L'Oriental,Nador,AC-Kourouna,698,643
L'Oriental,Nador,CR-Trougout,4 655,3 327
L'Oriental,Nador,CR-Tsaft,3 523,2 835
L'Oriental,Nador,AC-Kassita,650,460
L'Oriental,Ouajda Angad,(Tous),161 254,126 002
L'Oriental,Ouajda Angad,MU-Bni Drar,2 723,2 185
L'Oriental,Ouajda Angad,MU-Naima,390,258
L'Oriental,Ouajda Angad,MU-Oujda,135 301,103 561
L'Oriental,Ouajda Angad,CR-Ahl Angad,5 887,4 865
L'Oriental,Ouajda Angad,CR-Ain Sfa,2 245,2 095
L'Oriental,Ouajda Angad,CR-Bni Khaled,2 495,2 353
L'Oriental,Ouajda Angad,CR-Bsara,684,538
L'Oriental,Ouajda Angad,CR-Isly,7 739,6 784
L'Oriental,Ouajda Angad,CR-Mestferki,1 615,1 412
L'Oriental,Ouajda Angad,CR-Sidi Boulenouar,1 143,968
L'Oriental,Ouajda Angad,CR-Sidi Moussa Lemhaya,1 032,983
L'Oriental,Taourirt,(Tous),66 683,55 791
L'Oriental,Taourirt,MU-Debdou,1 426,988
L'Oriental,Taourirt,MU-El Aioun Sidi Mellouk,11 978,8 526
L'Oriental,Taourirt,MU-Taourirt,23 846,19 107
L'Oriental,Taourirt,CR-ElAtef,883,769
L'Oriental,Taourirt,CR-Oulad M hammed,711,708
L'Oriental,Taourirt,CR-Sidi Ali Belkassem,3 830,3 677
L'Oriental,Taourirt,CR-Sidi Lahsen,3 217,2 877
L'Oriental,Taourirt,CR-Ain Lehjer,3 483,3 284
L'Oriental,Taourirt,CR-Mechraa Hammadi,2 668,2 468
L'Oriental,Taourirt,CR-Mestegmer,2 313,2 069
L'Oriental,Taourirt,CR-Tancherfi,2 670,2 535
L'Oriental,Taourirt,CR-Ahl Oued Za,4 968,4 348
L'Oriental,Taourirt,CR-Gteter,2 257,2 155
L'Oriental,Taourirt,CR-Melg El Ouidane,2 433,2 280
Grand Casablanca,Casablanca,(Tous),1 221 057,1 049 538
Grand Casablanca,Casablanca,AR-Anfa,42 364,37 585
Grand Casablanca,Casablanca,AR-El Maarif,81 405,74 994
Grand Casablanca,Casablanca,AR-Sidi Belyout,97 754,85 604
Grand Casablanca,Casablanca,AR-Al Fida,80 435,67 722
Grand Casablanca,Casablanca,AR-Mers Sultan,64 793,54 972
Grand Casablanca,Casablanca,AR-Ain Sebaa,60 641,50 832
Grand Casablanca,Casablanca,AR-Assoukhour Assawda,42 317,36 986
Grand Casablanca,Casablanca,AR-Hay Mohammadi,64 359,52 763
Grand Casablanca,Casablanca,AR-Hay Hassani,135 765,121 771
Grand Casablanca,Casablanca,AR-Ain Chock,104 280,90 564
Grand Casablanca,Casablanca,AR-Sidi Bernoussi,67 182,56 630
Grand Casablanca,Casablanca,AR-Sidi Moumen,110 979,95 748
Grand Casablanca,Casablanca,AR-Ben M Sick,67 589,55 357
Grand Casablanca,Casablanca,AR-Sbata,47 353,40 096
Grand Casablanca,Casablanca,AR-Moulay Rachid,81 900,69 330
Grand Casablanca,Casablanca,AR-Sidi Othmane,70 534,57 290
Grand Casablanca,Casablanca,MU-Mechouar Casablanca,1 407,1 294
Grand Casablanca,Mediouna,(Tous),45 117,39 676
Grand Casablanca,Mediouna,MU-Mediouna,5 647,4 656
Grand Casablanca,Mediouna,MU-Tit Mellil,4 447,3 709
Grand Casablanca,Mediouna,CR-AlMajjatia Oulad Taleb,8 508,7 874
Grand Casablanca,Mediouna,CR-Lahraouyine,2 042,1 748
Grand Casablanca,Mediouna,AC-Lahraouyine,17 566,15 506
Grand Casablanca,Mediouna,CR-Sidi Hajjaj Oued Hassar,6 907,6 183
Grand Casablanca,Mohammedia,(Tous),122 820,103 887
Grand Casablanca,Mohammedia,MU-Mohammedia,72 882,60 337
Grand Casablanca,Mohammedia,MU-Ain Harrouda,16 061,13 974
Grand Casablanca,Mohammedia,CR-Bni Yakhlef,7 052,6 330
Grand Casablanca,Mohammedia,AC-Bni Yakhlef,4 138,3 525
Grand Casablanca,Mohammedia,CR-Ech challalate,14 315,12 706
Grand Casablanca,Mohammedia,CR-Sidi Moussa Ben Ali,3 520,2 897
Grand Casablanca,Mohammedia,CR-Sidi Moussa Majdoub,4 852,4 118
Grand Casablanca,Nouaceur,(Tous),89 479,80 171
Grand Casablanca,Nouaceur,MU-Nouaceur,4 294,3 475
Grand Casablanca,Nouaceur,CR-Bouskoura,17 043,15 575
Grand Casablanca,Nouaceur,AC-Bouskoura,5 097,4 522
Grand Casablanca,Nouaceur,AC-Lamkansa,13 885,12 608
Grand Casablanca,Nouaceur,CR-Dar Bouazza,43 421,39 336
Grand Casablanca,Nouaceur,CR-Oulad Salah,5 739,4 655
Rabat Sale Zemmour Zear,Khemisset,(Tous),184 092,158 609
Rabat Sale Zemmour Zear,Khemisset,MU-Khemisset,34 882,26 383
Rabat Sale Zemmour Zear,Khemisset,MU-Rommani,4 356,3 664
Rabat Sale Zemmour Zear,Khemisset,MU-Tiflet,23 038,17 200
Rabat Sale Zemmour Zear,Khemisset,CR-Ait Mimoune,3 727,3 516
Rabat Sale Zemmour Zear,Khemisset,CR-Ait Ouribel,3 207,2 928
Rabat Sale Zemmour Zear,Khemisset,CR-Ait Siberne,2 079,1 974
Rabat Sale Zemmour Zear,Khemisset,CR-Ait Yadine,7 734,7 259
Rabat Sale Zemmour Zear,Khemisset,CR-ElGanzra,4 808,4 418
Rabat Sale Zemmour Zear,Khemisset,CR-Majmaa Tolba,4 819,4 442
Rabat Sale Zemmour Zear,Khemisset,CR-Sfassif,2 807,2 713
Rabat Sale Zemmour Zear,Khemisset,CR-Sidi Allal Lamsadder,3 343,3 158
Rabat Sale Zemmour Zear,Khemisset,CR-Sidi El Ghandour,6 722,5 657
Rabat Sale Zemmour Zear,Khemisset,CR-Ait Ichou,795,724
Rabat Sale Zemmour Zear,Khemisset,CR-Ait Ikkou,3 447,3 236
Rabat Sale Zemmour Zear,Khemisset,CR-Bouqachmir,1 693,1 641
Rabat Sale Zemmour Zear,Khemisset,CR-Houderrane,2 364,2 126
Rabat Sale Zemmour Zear,Khemisset,CR-Maaziz,1 164,1 034
Rabat Sale Zemmour Zear,Khemisset,AC-Maaziz,2 411,1 828
Rabat Sale Zemmour Zear,Khemisset,CR-Oulmes,3 807,3 464
Rabat Sale Zemmour Zear,Khemisset,AC-Oulmes,3 206,2 349
Rabat Sale Zemmour Zear,Khemisset,CR-Tiddas,3 083,2 780
Rabat Sale Zemmour Zear,Khemisset,AC-Tiddas,1 054,783
Rabat Sale Zemmour Zear,Khemisset,CR-Ain Sbit,3 726,3 442
Rabat Sale Zemmour Zear,Khemisset,CR-Brachoua,4 522,4 062
Rabat Sale Zemmour Zear,Khemisset,CR-Ezzhiliga,5 534,5 246
Rabat Sale Zemmour Zear,Khemisset,CR-Jemaat Moul Blad,2 240,2 162
Rabat Sale Zemmour Zear,Khemisset,CR-Laghoualem,4 781,4 493
Rabat Sale Zemmour Zear,Khemisset,CR-Marchouch,4 114,3 555
Rabat Sale Zemmour Zear,Khemisset,CR-Moulay Driss Aghbal,1 993,1 885
Rabat Sale Zemmour Zear,Khemisset,CR-Ain Johra,4 646,4 474
Rabat Sale Zemmour Zear,Khemisset,CR-Ait Belkacem,1 910,1 870
Rabat Sale Zemmour Zear,Khemisset,CR-Ait Bouyahya El Hajjama,2 255,2 047
Rabat Sale Zemmour Zear,Khemisset,CR-Ait Malek,1 642,1 511
Rabat Sale Zemmour Zear,Khemisset,CR-Khemis Sidi Yahya,2 711,2 572
Rabat Sale Zemmour Zear,Khemisset,CR-M qam Tolba,5 524,5 226
Rabat Sale Zemmour Zear,Khemisset,CR-Sidi Abderrazak,5 188,4 837
Rabat Sale Zemmour Zear,Khemisset,CR-Sidi Boukhalkhal,3 501,3 397
Rabat Sale Zemmour Zear,Khemisset,CR-Sidi Allal El Bahraoui,2 036,1 896
Rabat Sale Zemmour Zear,Khemisset,AC-Sidi Allal El Bahraoui,3 223,2 657
Rabat Sale Zemmour Zear,Rabat,(Tous),267 367,230 224
Rabat Sale Zemmour Zear,Rabat,AR-Agdal Riyad,40 046,37 666
Rabat Sale Zemmour Zear,Rabat,AR-El Youssoufia,71 890,59 832
Rabat Sale Zemmour Zear,Rabat,AR-Hassan,56 076,49 125
Rabat Sale Zemmour Zear,Rabat,AR-Souissi,13 136,12 294
Rabat Sale Zemmour Zear,Rabat,MU-Touarga,2 074,1 774
Rabat Sale Zemmour Zear,Rabat,AR-Yacoub El Mansour,84 145,69 533
Rabat Sale Zemmour Zear,Sale,(Tous),306 680,255 669
Rabat Sale Zemmour Zear,Sale,AR-Bab Lamrissa,56 460,47 698
Rabat Sale Zemmour Zear,Sale,AR-Bettana,39 982,32 748
Rabat Sale Zemmour Zear,Sale,AR-Hssaine,55 077,46 425
Rabat Sale Zemmour Zear,Sale,AR-Layayda,40 017,32 785
Rabat Sale Zemmour Zear,Sale,AR-Tabriquet,92 039,75 363
Rabat Sale Zemmour Zear,Sale,CR-Shoul,7 500,7 087
Rabat Sale Zemmour Zear,Sale,CR-Sidi Bouknadel,12 308,10 828
Rabat Sale Zemmour Zear,Sale,AC-Bouknadel,3 297,2 735
Rabat Sale Zemmour Zear,Skhirate Temara,(Tous),145 813,127 557
Rabat Sale Zemmour Zear,Skhirate Temara,MU-Ain El Aouda,8 447,7 345
Rabat Sale Zemmour Zear,Skhirate Temara,MU-Harhoura,4 199,3 844
Rabat Sale Zemmour Zear,Skhirate Temara,MU-Skhirate,15 736,13 545
Rabat Sale Zemmour Zear,Skhirate Temara,MU-Temara,85 296,74 482
Rabat Sale Zemmour Zear,Skhirate Temara,CR-ElMenzeh,2 135,1 897
Rabat Sale Zemmour Zear,Skhirate Temara,CR-Oumazza,3 678,3 324
Rabat Sale Zemmour Zear,Skhirate Temara,CR-Sidi Yahya Zaer,9 865,8 752
Rabat Sale Zemmour Zear,Skhirate Temara,CR-Ain Attig,6 784,5 862
Rabat Sale Zemmour Zear,Skhirate Temara,CR-Mers El Kheir,4 974,4 395
Rabat Sale Zemmour Zear,Skhirate Temara,CR-Sabbah,4 699,4 111
Doukkala Abda,El Jadida,(Tous),411 862,381 379
Doukkala Abda,El Jadida,MU-Azemmour,13 773,11 593
Doukkala Abda,El Jadida,MU-El Jadida,55 995,47 431
Doukkala Abda,El Jadida,MU-Lbir Jdid,5 615,4 958
Doukkala Abda,El Jadida,MU-Sidi Bennour,14 315,12 036
Doukkala Abda,El Jadida,MU-Zemamra,4 153,3 420
Doukkala Abda,El Jadida,CR-Chtouka,10 220,9 460
Doukkala Abda,El Jadida,CR-Haouzia,12 057,11 541
Doukkala Abda,El Jadida,CR-Laghdira,7 692,7 276
Doukkala Abda,El Jadida,CR-Lamharza Essahel,5 695,5 441
Doukkala Abda,El Jadida,CR-Oulad Rahmoune,7 096,7 011
Doukkala Abda,El Jadida,CR-Sidi Ali Ben Hamdouche,9 410,8 605
Doukkala Abda,El Jadida,AC-Sidi Ali Ben Hamdouche,1 260,1 072
Doukkala Abda,El Jadida,CR-Moulay Abdallah,13 025,12 163
Doukkala Abda,El Jadida,AC-Moulay Abdallah,2 177,1 754
Doukkala Abda,El Jadida,AC-Oulad Ghadbane,1 395,1 065
Doukkala Abda,El Jadida,AC-Sidi Bouzid,415,378
Doukkala Abda,El Jadida,CR-Oulad Aissa,8 210,7 450
Doukkala Abda,El Jadida,CR-Oulad Ghanem,7 879,7 222
Doukkala Abda,El Jadida,CR-Oulad Hcine,13 086,12 873
Doukkala Abda,El Jadida,CR-Sidi Abed,7 657,7 490
Doukkala Abda,El Jadida,CR-Sidi M Hamed Akhdim,4 714,4 502
Doukkala Abda,El Jadida,CR-Bni Hilal,5 548,5 434
Doukkala Abda,El Jadida,CR-Bni Tsiriss,5 207,5 145
Doukkala Abda,El Jadida,CR-Bouhmame,7 862,7 610
Doukkala Abda,El Jadida,AC-Karia,2 727,2 331
Doukkala Abda,El Jadida,CR-Jabria,8 075,7 848
Doukkala Abda,El Jadida,CR-Khmis Ksiba,2 618,2 567
Doukkala Abda,El Jadida,CR-Koudiat Bni Dghough,5 553,5 168
Doukkala Abda,El Jadida,CR-Kridid,3 870,3 736
Doukkala Abda,El Jadida,AC-Sebt Lamaarif,636,611
Doukkala Abda,El Jadida,CR-Laagagcha,5 201,5 059
Doukkala Abda,El Jadida,CR-Laamria,4 384,4 360
Doukkala Abda,El Jadida,CR-Laaounate,6 107,5 984
Doukkala Abda,El Jadida,AC-Laaounate,1 455,1 314
Doukkala Abda,El Jadida,CR-Laatatra,5 454,5 361
Doukkala Abda,El Jadida,CR-Lmechrek,5 294,5 139
Doukkala Abda,El Jadida,CR-Metrane,5 053,4 854
Doukkala Abda,El Jadida,CR-M Tal,4 877,4 536
Doukkala Abda,El Jadida,CR-Oulad Amrane,3 289,2 973
Doukkala Abda,El Jadida,AC-Oulad Amrane,507,408
Doukkala Abda,El Jadida,CR-Oulad Boussaken,3 148,3 103
Doukkala Abda,El Jadida,CR-Oulad Si Bouhya,6 685,6 536
Doukkala Abda,El Jadida,CR-Tamda,3 306,3 212
Doukkala Abda,El Jadida,CR-Boulaouane,5 106,5 040
Doukkala Abda,El Jadida,CR-Chaibate,3 413,3 264
Doukkala Abda,El Jadida,CR-Mettouh,9 449,9 162
Doukkala Abda,El Jadida,CR-Mogress,5 371,4 995
Doukkala Abda,El Jadida,CR-Oulad Hamdane,5 994,5 866
Doukkala Abda,El Jadida,CR-Oulad Sidi Ali Ben Youssef,3 313,3 199
Doukkala Abda,El Jadida,CR-Oulad Frej,2 304,2 200
Doukkala Abda,El Jadida,AC-Oulad frej,3 704,3 196
Doukkala Abda,El Jadida,CR-Sebt Saiss,3 948,3 795
Doukkala Abda,El Jadida,CR-SiHsaien Ben Abderrahmane,2 269,2 205
Doukkala Abda,El Jadida,CR-Sidi Smail,7 684,7 376
Doukkala Abda,El Jadida,AC-Sidi Smail,1 571,1 343
Doukkala Abda,El Jadida,CR-Zaouiat Saiss,3 512,3 309
Doukkala Abda,El Jadida,CR-Zaouiat Lakouacem,4 664,4 570
Doukkala Abda,El Jadida,CR-Laghnadra,11 234,10 511
Doukkala Abda,El Jadida,CR-Lgharbia,8 348,7 768
Doukkala Abda,El Jadida,CR-Loualidia,3 393,3 153
Doukkala Abda,El Jadida,AC-Loualidia,1 987,1 619
Doukkala Abda,El Jadida,CR-Oulad Sbaita,9 330,8 784
Doukkala Abda,El Jadida,CR-Saniat Berguig,12 573,11 994
Doukkala Abda,Safi,(Tous),311 942,274 147
Doukkala Abda,Safi,MU-Safi,104 001,82 374
Doukkala Abda,Safi,MU-Echemmaia,7 239,5 788
Doukkala Abda,Safi,MU-Jamaat Shaim,5 091,4 228
Doukkala Abda,Safi,MU-Sebt Gzoula,4 690,4 107
Doukkala Abda,Safi,MU-Youssoufia,20 114,14 396
Doukkala Abda,Safi,CR-Bouguedra,6 949,6 633
Doukkala Abda,Safi,AC-Bouguedra,544,461
Doukkala Abda,Safi,CR-ElGouraani,3 781,3 662
Doukkala Abda,Safi,CR-Labkhati,5 172,5 060
Doukkala Abda,Safi,CR-Lahdar,4 077,3 933
Doukkala Abda,Safi,CR-Lamrasla,6 225,6 050
Doukkala Abda,Safi,CR-Lamsabih,4 170,4 028
Doukkala Abda,Safi,CR-Sidi Aissa,3 418,3 243
Doukkala Abda,Safi,CR-Sidi Ettiji,5 508,5 463
Doukkala Abda,Safi,CR-Atiamim,2 283,2 072
Doukkala Abda,Safi,CR-El Gantour,3 728,3 324
Doukkala Abda,Safi,AC-Sidi Ahmed,2 404,1 541
Doukkala Abda,Safi,CR-Esbiaat,5 539,5 182
Doukkala Abda,Safi,CR-Ighoud,6 984,6 926
Doukkala Abda,Safi,AC-Ighoud,544,411
Doukkala Abda,Safi,CR-Jdour,6 115,5 910
Doukkala Abda,Safi,CR-Jnane Bouih,5 742,5 658
Doukkala Abda,Safi,CR-Lakhoualqa,6 033,5 892
Doukkala Abda,Safi,CR-Ras El Ain,6 125,5 824
Doukkala Abda,Safi,CR-Sidi Chiker,6 806,6 626
Doukkala Abda,Safi,CR-Atouabet,4 076,4 056
Doukkala Abda,Safi,CR-ElGhiate,8 971,8 836
Doukkala Abda,Safi,CR-Khatazakane,6 381,6 240
Doukkala Abda,Safi,CR-Laamamra,4 273,4 195
Doukkala Abda,Safi,CR-Lamaachate,4 936,4 798
Doukkala Abda,Safi,CR-Nagga,7 662,7 286
Doukkala Abda,Safi,CR-Oulad Salmane,6 478,6 276
Doukkala Abda,Safi,CR-Saadla,5 721,5 627
Doukkala Abda,Safi,CR-Ayir,7 303,6 758
Doukkala Abda,Safi,AC-Laakarta,956,782
Doukkala Abda,Safi,CR-Dar Si Aissa,3 896,3 706
Doukkala Abda,Safi,CR-ElBeddouza,4 372,4 095
Doukkala Abda,Safi,CR-Hrara,8 283,7 911
Doukkala Abda,Safi,AC-Hrara,332,277
Doukkala Abda,Safi,CR-Moul El Bergui,5 020,4 512
Tadla Azilal,Azilal,(Tous),170 683,161 725
Tadla Azilal,Azilal,MU-Azilal,7 331,6 185
Tadla Azilal,Azilal,MU-Demnate,6 774,5 912
Tadla Azilal,Azilal,CR-Agoudi N Lkhair,4 521,4 476
Tadla Azilal,Azilal,CR-Ait Abbas,4 011,3 983
Tadla Azilal,Azilal,CR-Ait Bou Oulli,3 580,3 560
Tadla Azilal,Azilal,CR-Ait M Hamed,7 316,7 196
Tadla Azilal,Azilal,CR-Tabant,5 668,5 652
Tadla Azilal,Azilal,CR-Tamda Noumercid,3 662,3 488
Tadla Azilal,Azilal,CR-Zaouiat Ahansal,4 605,4 597
Tadla Azilal,Azilal,CR-Ait Taguella,2 389,2 214
Tadla Azilal,Azilal,CR-Bni Ayat,6 408,5 752
Tadla Azilal,Azilal,CR-Bni Hassane,3 305,3 238
Tadla Azilal,Azilal,CR-Bzou,2 974,2 694
Tadla Azilal,Azilal,AC-Bzou,1 460,1 317
Tadla Azilal,Azilal,CR-Foum Jemaa,1 304,1 163
Tadla Azilal,Azilal,AC-Foum jemaa,1 398,1 181
Tadla Azilal,Azilal,CR-Moulay Aissa Ben Driss,3 512,3 151
Tadla Azilal,Azilal,CR-Rfala,3 499,3 398
Tadla Azilal,Azilal,CR-Tabia,2 775,2 692
Tadla Azilal,Azilal,CR-Tanant,3 125,2 908
Tadla Azilal,Azilal,CR-Taounza,3 556,3 401
Tadla Azilal,Azilal,CR-Tisqi,2 209,2 102
Tadla Azilal,Azilal,CR-Ait Blal,2 207,2 154
Tadla Azilal,Azilal,CR-Ait Majden,5 704,5 574
Tadla Azilal,Azilal,CR-Ait Oumdis,5 885,5 826
Tadla Azilal,Azilal,CR-Ait Tamlil,7 407,7 354
Tadla Azilal,Azilal,CR-Anzou,4 311,4 113
Tadla Azilal,Azilal,CR-Imlil,2 744,2 512
Tadla Azilal,Azilal,CR-Ouaoula,7 269,7 071
Tadla Azilal,Azilal,CR-Sidi Boulkhalf,5 768,5 743
Tadla Azilal,Azilal,CR-Sidi Yacoub,5 759,5 654
Tadla Azilal,Azilal,CR-Tidili Fetouaka,4 859,4 746
Tadla Azilal,Azilal,CR-Tifni,3 358,3 281
Tadla Azilal,Azilal,CR-Afourar,2 446,2 126
Tadla Azilal,Azilal,AC-Afourar,3 331,2 789
Tadla Azilal,Azilal,CR-Ait Mazigh,1 228,1 179
Tadla Azilal,Azilal,CR-Ait Ouaarda,613,600
Tadla Azilal,Azilal,CR-Ait Ouqabli,1 214,1 182
Tadla Azilal,Azilal,CR-Anergui,1 487,1 472
Tadla Azilal,Azilal,CR-Bin El Ouidane,1 915,1 725
Tadla Azilal,Azilal,CR-Isseksi,776,706
Tadla Azilal,Azilal,CR-Ouaouizeght,1 632,1 419
Tadla Azilal,Azilal,AC-Ouaouizaght,2 427,1 929
Tadla Azilal,Azilal,CR-Tabaroucht,1 477,1 465
Tadla Azilal,Azilal,CR-Tagleft,3 917,3 697
Tadla Azilal,Azilal,CR-Tiffert N Ait Hamza,815,789
Tadla Azilal,Azilal,CR-Tilougguite,4 673,4 619
Tadla Azilal,Azilal,CR-Timoulilt,2 079,1 740
Tadla Azilal,Beni Mellal,(Tous),317 204,272 471
Tadla Azilal,Beni Mellal,MU-Beni Mellal,58 594,48 163
Tadla Azilal,Beni Mellal,MU-El Ksiba,5 536,4 161
Tadla Azilal,Beni Mellal,MU-Fquih Ben Salah,27 500,21 920
Tadla Azilal,Beni Mellal,MU-Kasba Tadla,12 665,9 935
Tadla Azilal,Beni Mellal,MU-Oulad Ayad,6 212,4 783
Tadla Azilal,Beni Mellal,MU-Souk Sebt Oulad Nemma,16 531,13 489
Tadla Azilal,Beni Mellal,MU-Zaouiat Cheikh,6 643,5 286
Tadla Azilal,Beni Mellal,CR-Foum Oudi,2 458,2 261
Tadla Azilal,Beni Mellal,CR-Oulad Gnaou,3 617,3 192
Tadla Azilal,Beni Mellal,CR-Oulad M Barek,1 863,1 670
Tadla Azilal,Beni Mellal,AC-Oulad M Barek,3 789,2 884
Tadla Azilal,Beni Mellal,CR-Oulad Yaich,7 000,6 403
Tadla Azilal,Beni Mellal,AC-Oulad Yaich,2 430,1 980
Tadla Azilal,Beni Mellal,CR-Sidi Jaber,4 890,4 235
Tadla Azilal,Beni Mellal,AC-Sidi jaber,1 532,1 253
Tadla Azilal,Beni Mellal,CR-Dar Ould Zidouh,5 639,4 943
Tadla Azilal,Beni Mellal,AC-Dar Ould Zidouh,3 070,2 251
Tadla Azilal,Beni Mellal,CR-Had Boumoussa,13 248,12 066
Tadla Azilal,Beni Mellal,CR-Oulad Bourahmoune,4 744,4 230
Tadla Azilal,Beni Mellal,CR-Oulad Nacer,9 581,8 863
Tadla Azilal,Beni Mellal,CR-Oulad Zmam,12 186,10 416
Tadla Azilal,Beni Mellal,CR-Sidi Aissa Ben Ali,7 414,6 394
Tadla Azilal,Beni Mellal,CR-Sidi Hammadi,5 193,4 409
Tadla Azilal,Beni Mellal,CR-Aghbala,2 041,2 019
Tadla Azilal,Beni Mellal,AC-Aghbala,1 896,1 705
Tadla Azilal,Beni Mellal,CR-Ait Oum El Bekht,3 600,3 342
Tadla Azilal,Beni Mellal,CR-Boutferda,2 377,2 344
Tadla Azilal,Beni Mellal,CR-Dir El Ksiba,6 157,5 752
Tadla Azilal,Beni Mellal,CR-Foum El Anceur,4 703,4 239
Tadla Azilal,Beni Mellal,CR-Naour,2 188,2 114
Tadla Azilal,Beni Mellal,CR-Taghzirt,5 789,5 337
Tadla Azilal,Beni Mellal,CR-Tanougha,3 332,3 148
Tadla Azilal,Beni Mellal,CR-Tizi N Isly,3 222,3 097
Tadla Azilal,Beni Mellal,CR-AlKhalfia,4 461,3 909
Tadla Azilal,Beni Mellal,CR-Bni Chegdale,3 663,2 879
Tadla Azilal,Beni Mellal,CR-Bni Oukil,5 331,4 975
Tadla Azilal,Beni Mellal,CR-Bradia,9 377,8 864
Tadla Azilal,Beni Mellal,AC-Bradia,1 932,1 712
Tadla Azilal,Beni Mellal,CR-Hel Merbaa,4 618,4 429
Tadla Azilal,Beni Mellal,CR-Krifate,12 978,11 734
Tadla Azilal,Beni Mellal,CR-Guettaya,4 926,4 375
Tadla Azilal,Beni Mellal,CR-Oulad Youssef,3 916,3 513
Tadla Azilal,Beni Mellal,CR-Oulad Said L Oued,4 007,3 640
Tadla Azilal,Beni Mellal,CR-Semguet,4 355,4 157
